Date,Day,Usage
24/05/2022,TUE,1622670
23/05/2022,MON,1550678
22/05/2022,SUN,972459
21/05/2022,SAT,1246446
20/05/2022,FRI,1605515
19/05/2022,THU,1645803
18/05/2022,WED,1644601
17/05/2022,TUE,1638158
16/05/2022,MON,1558366
15/05/2022,SUN,891857
14/05/2022,SAT,1248486
13/05/2022,FRI,1633769
12/05/2022,THU,1657902
11/05/2022,WED,1593929
10/05/2022,TUE,1611672
09/05/2022,MON,1565536
08/05/2022,SUN,947934
07/05/2022,SAT,1210433
06/05/2022,FRI,1637384
05/05/2022,THU,1654067
04/05/2022,WED,1615417
03/05/2022,TUE,1559580
02/05/2022,MON,958069
01/05/2022,SUN,929197
30/04/2022,SAT,1223568
29/04/2022,FRI,1613091
28/04/2022,THU,1634506
27/04/2022,WED,1604992
26/04/2022,TUE,1612999
25/04/2022,MON,1524802
24/04/2022,SUN,895447
23/04/2022,SAT,1184383
22/04/2022,FRI,1557019
21/04/2022,THU,1582864
20/04/2022,WED,1567443
19/04/2022,TUE,1473619
18/04/2022,MON,908210
17/04/2022,SUN,816900
16/04/2022,SAT,1118146
15/04/2022,FRI,1089073
14/04/2022,THU,1389985
13/04/2022,WED,1365499
12/04/2022,TUE,1350678
11/04/2022,MON,1304242
10/04/2022,SUN,894356
09/04/2022,SAT,1146592
08/04/2022,FRI,1348935
07/04/2022,THU,1348007
06/04/2022,WED,1323819
05/04/2022,TUE,1350469
04/04/2022,MON,1258591
03/04/2022,SUN,884724
02/04/2022,SAT,1119280
01/04/2022,FRI,1532055
31/03/2022,THU,1543279
30/03/2022,WED,1549911
29/03/2022,TUE,1534321
28/03/2022,MON,1488013
27/03/2022,SUN,871191
26/03/2022,SAT,1232032
25/03/2022,FRI,1610092
24/03/2022,THU,1613274
23/03/2022,WED,1598310
22/03/2022,TUE,1586749
21/03/2022,MON,1525570
20/03/2022,SUN,900169
19/03/2022,SAT,1204783
18/03/2022,FRI,1598168
17/03/2022,THU,1624538
16/03/2022,WED,1546187
15/03/2022,TUE,1593202
14/03/2022,MON,1534821
13/03/2022,SUN,871867
12/03/2022,SAT,1193280
11/03/2022,FRI,1559645
10/03/2022,THU,1598655
09/03/2022,WED,1576847
08/03/2022,TUE,1581960
07/03/2022,MON,1519197
06/03/2022,SUN,858368
05/03/2022,SAT,1133828
04/03/2022,FRI,1538795
03/03/2022,THU,1328754
02/03/2022,WED,1503041
01/03/2022,TUE,1300132
28/02/2022,MON,1516418
27/02/2022,SUN,895372
26/02/2022,SAT,1191975
25/02/2022,FRI,1597374
24/02/2022,THU,1549948
23/02/2022,WED,1571338
22/02/2022,TUE,1545175
21/02/2022,MON,1399687
20/02/2022,SUN,750793
19/02/2022,SAT,1027616
18/02/2022,FRI,946072
17/02/2022,THU,1343343
16/02/2022,WED,1306633
15/02/2022,TUE,1230010
14/02/2022,MON,1276763
13/02/2022,SUN,788498
12/02/2022,SAT,1109128
11/02/2022,FRI,1516421
10/02/2022,THU,1532332
09/02/2022,WED,1524868
08/02/2022,TUE,1516736
07/02/2022,MON,1463155
06/02/2022,SUN,779969
05/02/2022,SAT,1110491
04/02/2022,FRI,1487192
03/02/2022,THU,1506043
02/02/2022,WED,1492104
01/02/2022,TUE,1490978
31/01/2022,MON,1428783
30/01/2022,SUN,806585
29/01/2022,SAT,1089808
28/01/2022,FRI,1484825
27/01/2022,THU,1463623
26/01/2022,WED,1445226
25/01/2022,TUE,1426519
24/01/2022,MON,1386256
23/01/2022,SUN,765334
22/01/2022,SAT,1039777
21/01/2022,FRI,1434926
20/01/2022,THU,1434030
19/01/2022,WED,1407288
18/01/2022,TUE,1399591
17/01/2022,MON,1370325
16/01/2022,SUN,744732
15/01/2022,SAT,995992
14/01/2022,FRI,1405492
13/01/2022,THU,1376299
12/01/2022,WED,1379993
11/01/2022,TUE,1329359
10/01/2022,MON,1297694
09/01/2022,SUN,724631
08/01/2022,SAT,838110
07/01/2022,FRI,1278307
06/01/2022,THU,1224061
05/01/2022,WED,1195932
04/01/2022,TUE,1031751
03/01/2022,MON,736497
02/01/2022,SUN,644959
01/01/2022,SAT,568086
31/12/2021,FRI,946134
30/12/2021,THU,922703
29/12/2021,WED,898201
28/12/2021,TUE,739550
27/12/2021,MON,680987
26/12/2021,SUN,488038
25/12/2021,SAT,368
24/12/2021,FRI,899777
23/12/2021,THU,1056152
22/12/2021,WED,1087795
21/12/2021,TUE,1112110
20/12/2021,MON,1122346
19/12/2021,SUN,779365
18/12/2021,SAT,1005716
17/12/2021,FRI,1366496
16/12/2021,THU,1401882
15/12/2021,WED,1450710
14/12/2021,TUE,1449075
13/12/2021,MON,1431643
12/12/2021,SUN,852923
11/12/2021,SAT,1138303
10/12/2021,FRI,1554450
